1stNum,2ndNum,add,revAdd,sub,revSub,times,revTimes,div,revDiv,plus,revPlus,minus,revMinus,time,revTime,divide,revDivide,tags
0,0,0,0,0,0,0,0,cannot divide by zero,cannot divide by zero,0 plus 0 equals,0 plus 0 equals,0 minus 0 equals,0 minus 0 equals,0 times 0 equals,0 times 0 equals,0 divided by 0 equals:0 divided by 0 equals,math
0,1,1,1,-1,1,0,0,0,cannot divide by zero,0 plus 1 equals,1 plus 0 equals,0 minus 1 equals,1 minus 0 equals,0 times 1 equals,1 times 0 equals,0 divided by 1 equals:1 divided by 0 equals,math
0,2,2,2,-2,2,0,0,0,cannot divide by zero,0 plus 2 equals,2 plus 0 equals,0 minus 2 equals,2 minus 0 equals,0 times 2 equals,2 times 0 equals,0 divided by 2 equals:2 divided by 0 equals,math
0,3,3,3,-3,3,0,0,0,cannot divide by zero,0 plus 3 equals,3 plus 0 equals,0 minus 3 equals,3 minus 0 equals,0 times 3 equals,3 times 0 equals,0 divided by 3 equals:3 divided by 0 equals,math
0,4,4,4,-4,4,0,0,0,cannot divide by zero,0 plus 4 equals,4 plus 0 equals,0 minus 4 equals,4 minus 0 equals,0 times 4 equals,4 times 0 equals,0 divided by 4 equals:4 divided by 0 equals,math
0,5,5,5,-5,5,0,0,0,cannot divide by zero,0 plus 5 equals,5 plus 0 equals,0 minus 5 equals,5 minus 0 equals,0 times 5 equals,5 times 0 equals,0 divided by 5 equals:5 divided by 0 equals,math
0,6,6,6,-6,6,0,0,0,cannot divide by zero,0 plus 6 equals,6 plus 0 equals,0 minus 6 equals,6 minus 0 equals,0 times 6 equals,6 times 0 equals,0 divided by 6 equals:6 divided by 0 equals,math
0,7,7,7,-7,7,0,0,0,cannot divide by zero,0 plus 7 equals,7 plus 0 equals,0 minus 7 equals,7 minus 0 equals,0 times 7 equals,7 times 0 equals,0 divided by 7 equals:7 divided by 0 equals,math
0,8,8,8,-8,8,0,0,0,cannot divide by zero,0 plus 8 equals,8 plus 0 equals,0 minus 8 equals,8 minus 0 equals,0 times 8 equals,8 times 0 equals,0 divided by 8 equals:8 divided by 0 equals,math
0,9,9,9,-9,9,0,0,0,cannot divide by zero,0 plus 9 equals,9 plus 0 equals,0 minus 9 equals,9 minus 0 equals,0 times 9 equals,9 times 0 equals,0 divided by 9 equals:9 divided by 0 equals,math
0,10,10,10,-10,10,0,0,0,cannot divide by zero,0 plus 10 equals,10 plus 0 equals,0 minus 10 equals,10 minus 0 equals,0 times 10 equals,10 times 0 equals,0 divided by 10 equals:10 divided by 0 equals,math
0,11,11,11,-11,11,0,0,0,cannot divide by zero,0 plus 11 equals,11 plus 0 equals,0 minus 11 equals,11 minus 0 equals,0 times 11 equals,11 times 0 equals,0 divided by 11 equals:11 divided by 0 equals,math
0,12,12,12,-12,12,0,0,0,cannot divide by zero,0 plus 12 equals,12 plus 0 equals,0 minus 12 equals,12 minus 0 equals,0 times 12 equals,12 times 0 equals,0 divided by 12 equals:12 divided by 0 equals,math
