#separator:comma
#html:true
#notetype column:1
#deck column:2
#tags column:6
math2,0-current::math-wip,0^2 =,0,,squares
math2,0-current::math-wip,1^2 =,1,,squares
math2,0-current::math-wip,2^2 =,4,,squares
math2,0-current::math-wip,3^2 =,9,,squares
math2,0-current::math-wip,4^2 =,16,,squares
math2,0-current::math-wip,5^2 =,25,,squares
math2,0-current::math-wip,6^2 =,36,,squares
math2,0-current::math-wip,7^2 =,49,,squares
math2,0-current::math-wip,8^2 =,64,,squares
math2,0-current::math-wip,9^2 =,81,,squares
math2,0-current::math-wip,10^2 =,100,,squares
math2,0-current::math-wip,11^2 =,121,,squares
math2,0-current::math-wip,12^2 =,144,,squares
math2,0-current::math-wip,13^2 =,169,,squares
math2,0-current::math-wip,14^2 =,196,,squares
math2,0-current::math-wip,15^2 =,225,,squares
math2,0-current::math-wip,16^2 =,256,,squares
math2,0-current::math-wip,17^2 =,289,,squares
math2,0-current::math-wip,18^2 =,324,,squares
math2,0-current::math-wip,19^2 =,361,,squares
math2,0-current::math-wip,20^2 =,400,,squares
math2,0-current::math-wip,0^3 =,0,,cubes
math2,0-current::math-wip,1^3 =,1,,cubes
math2,0-current::math-wip,2^3 =,8,,cubes
math2,0-current::math-wip,3^3 =,27,,cubes
math2,0-current::math-wip,4^3 =,64,,cubes
math2,0-current::math-wip,5^3 =,125,,cubes
math2,0-current::math-wip,6^3 =,216,,cubes
math2,0-current::math-wip,7^3 =,343,,cubes
math2,0-current::math-wip,8^3 =,512,,cubes
math2,0-current::math-wip,9^3 =,729,,cubes
math2,0-current::math-wip,10^3 =,1000,,cubes
math2,0-current::math-wip,11^3 =,1331,,cubes
math2,0-current::math-wip,12^3 =,1728,,cubes
math2,0-current::math-wip,2^0 =,1,,power-of-2
math2,0-current::math-wip,2^1 =,2,,power-of-2
math2,0-current::math-wip,2^2 =,4,,power-of-2
math2,0-current::math-wip,2^3 =,8,,power-of-2
math2,0-current::math-wip,2^4 =,16,,power-of-2
math2,0-current::math-wip,2^5 =,32,,power-of-2
math2,0-current::math-wip,2^6 =,64,,power-of-2
math2,0-current::math-wip,2^7 =,128,,power-of-2
math2,0-current::math-wip,2^8 =,256,,power-of-2
math2,0-current::math-wip,2^9 =,512,,power-of-2
math2,0-current::math-wip,2^10 =,1024,,power-of-2
